geoid20,total_reg,eth1_aa,eth1_eur,g20201103_voted_all,g20201103_pct_voted_all
100059900000010,0,0,0,0,
100059900000009,0,0,0,0,
100059900000008,0,0,0,0,
100059900000007,0,0,0,0,
100059900000006,0,0,0,0,
100059900000005,0,0,0,0,
100059900000004,0,0,0,0,
100059900000003,0,0,0,0,
100059900000002,0,0,0,0,
100059900000001,0,0,0,0,
100059800001016,0,0,0,0,
100059800001015,0,0,0,0,
100059800001014,0,0,0,0,
100059800001013,0,0,0,0,
100059800001012,0,0,0,0,
100059800001011,0,0,0,0,
100059800001010,0,0,0,0,
100059800001009,0,0,0,0,
100059800001008,0,0,0,0,
100059800001007,0,0,0,0,
100059800001006,0,0,0,0,
100059800001005,0,0,0,0,
100059800001004,0,0,0,0,
100059800001003,0,0,0,0,
100059800001002,2,0,2,1,1.0
100059800001001,0,0,0,0,
100059800001000,0,0,0,0,
100050519003061,16,1,13,7,0.5384999999999999
100050519003060,14,3,10,2,0.1429
100050519003059,10,3,7,5,0.5
100050519003058,16,1,14,3,0.2142999999999999
100050519003057,7,0,6,0,0.0
100050519003056,15,1,11,4,0.2857
100050519003055,35,3,27,15,0.4545
100050519003054,4,0,4,3,0.75
100050519003053,7,0,6,3,0.5
100050519003052,5,0,3,3,0.5999999999999999
100050519003051,10,1,7,5,0.5
100050519003050,0,0,0,0,
100050519003049,6,2,4,5,0.8333
100050519003048,5,0,4,3,0.5999999999999999
100050519003047,15,3,12,8,0.5333
100050519003046,17,1,15,10,0.5882
100050519003045,8,0,8,4,0.5
100050519003044,37,1,33,22,0.5946
100050519003043,16,7,8,4,0.25
100050519003042,10,2,8,5,0.5
100050519003041,24,7,15,8,0.3636
100050519003040,13,5,2,1,0.1111
100050519003039,12,4,7,2,0.1818
100050519003038,1,0,0,0,0.0
100050519003037,9,4,5,2,0.25
100050519003036,5,1,2,2,0.4
100050519003035,13,0,13,4,0.3076999999999999
100050519003034,13,0,13,10,0.8333
100050519003033,5,0,4,4,0.8
100050519003032,4,0,4,2,0.5
100050519003031,12,1,11,5,0.4166999999999999
100050519003030,8,0,8,1,0.1666999999999999
100050519003029,1,0,1,1,1.0
100050519003028,3,2,1,3,1.0
100050519003027,5,2,2,4,1.0
100050519003026,4,0,4,1,0.25
100050519003025,11,2,7,5,0.5
100050519003024,0,0,0,0,
100050519003023,0,0,0,0,
100050519003022,39,1,27,27,0.7297
100050519003021,5,0,4,3,0.5999999999999999
100050519003020,2,0,1,2,1.0
100050519003019,25,4,21,16,0.7272999999999998
100050519003018,49,2,34,33,0.6875
100050519003017,25,1,18,16,0.6666999999999998
100050519003016,0,0,0,0,
100050519003015,45,7,28,35,0.7954999999999999
100050519003014,13,3,10,8,0.6666999999999998
100050519003013,8,0,3,1,0.1429
100050519003012,24,3,15,18,0.9
100050519003011,126,10,92,63,0.6363999999999999
100050519003010,111,15,82,49,0.6125
100050519003009,6,0,5,2,0.3332999999999999
100050519003008,10,1,9,5,0.625
100050519003007,27,2,24,15,0.5999999999999999
100050519003006,33,1,30,15,0.5
100050519003005,11,2,8,6,0.6666999999999998
100050519003004,2,0,2,2,1.0
100050519003003,3,0,3,2,0.6666999999999998
100050519003002,3,3,0,3,1.0
100050519003001,6,1,5,5,0.8333
100050519003000,42,8,31,14,0.3589999999999999
100050519002049,20,1,18,11,0.5788999999999999
100050519002048,3,0,3,2,0.6666999999999998
100050519002047,2,0,2,0,0.0
100050519002046,0,0,0,0,
100050519002045,19,3,15,9,0.5
100050519002044,11,0,9,7,0.6999999999999998
100050519002043,12,3,9,5,0.625
100050519002042,24,4,15,12,0.5454999999999999
100050519002041,13,0,12,9,0.6922999999999999
100050519002040,8,3,4,2,0.4
100050519002039,10,1,9,6,0.8571000000000002
100050519002038,26,0,10,13,0.52
100050519002037,19,1,13,11,0.6110999999999999
100050519002036,0,0,0,0,
100050519002035,0,0,0,0,
100050519002034,3,0,3,3,1.0
100050519002033,2,0,2,1,0.5
100050519002032,29,0,23,18,0.7199999999999999
100050519002031,18,0,17,13,0.8667
100050519002030,44,2,33,24,0.6316
100050519002029,24,2,21,12,0.5
100050519002028,135,6,118,51,0.4113
100050519002027,3,0,2,0,0.0
100050519002026,17,3,12,8,0.5333
100050519002025,19,3,14,8,0.5
100050519002024,12,2,10,10,0.8333
100050519002023,17,2,15,12,0.75
100050519002022,20,0,18,15,0.75
100050519002021,196,23,158,103,0.5722
100050519002020,5,0,5,1,0.3332999999999999
100050519002019,0,0,0,0,
100050519002018,0,0,0,0,
100050519002017,0,0,0,0,
100050519002016,54,5,46,21,0.4883999999999999
100050519002015,26,0,21,12,0.5714
100050519002014,0,0,0,0,
100050519002013,0,0,0,0,
100050519002012,50,5,41,29,0.5917999999999998
100050519002011,12,0,9,5,0.4545
100050519002010,48,2,43,29,0.6443999999999999
100050519002009,27,0,26,13,0.52
100050519002008,25,2,18,18,0.75
100050519002007,8,2,5,7,1.0
100050519002006,76,1,67,49,0.6999999999999998
100050519002005,0,0,0,0,
100050519002004,0,0,0,0,
100050519002003,22,0,20,8,0.4211
100050519002002,4,0,3,3,0.75
100050519002001,8,1,7,6,0.8571000000000002
100050519002000,0,0,0,0,
100050519001060,12,0,9,6,0.5454999999999999
100050519001059,6,0,5,3,0.5999999999999999
