OBJECTID,DISTRICT,POPULATION,RDED,Shape__Are,Shape__Len,TOTAL_REG,ETH1_EUR,ETH1_AA,ETH1_UNK,Biden Percentage,Trump Percentage,Hawkins Percentage,Jorgensen Percentage
1,1,1602,01-01,1162304.25185737,6304.852443497861,1254,211,936,30,91.77,6.46,0.51,1.27
2,1,1982,01-02,561298.567499345,3410.84827486969,1579,155,1310,32,94.69,4.75,0.32,0.24
3,1,1692,01-03,360235.014292785,2601.65045127404,1262,83,1094,17,95.69,4.06,0.25,0
4,1,2067,01-04,475088.25893291,3254.68417788045,1619,249,1224,40,93.42,5.45,0.61,0.52
5,1,2063,01-05,1567279.64476026,5694.297551819741,1636,589,826,101,86.11,12.34,0.25,1.31
6,1,1307,01-06,310995.95951994,2301.75535576573,996,53,855,7,95.78,3.04,0.47,0.7
7,1,768,01-07,205147.222731575,2096.3892271227,530,36,442,6,91.92,6.26,1.21,0.61
8,1,2355,01-08,690474.12715374,3535.45062055862,1662,1093,246,164,75,23.17,1.22,0.61
9,1,1430,01-09,1091687.34201092,4720.03736658839,1241,172,958,33,91.6,7.55,0.53,0.32
10,1,2521,01-10,977169.28929514,4951.550776619821,1858,143,1548,41,97.08,2.19,0.64,0.09
11,1,1320,01-11,458297.48302235,2797.5902798350603,1089,175,816,24,91.21,8.01,0,0.78
12,1,472,01-12,781754.5702583051,4231.71627553547,270,69,158,6,78.04,20.56,0.93,0.47
13,1,2035,01-13,1344370.35414813,5189.28207259815,1365,421,753,87,86.56,11.99,0.66,0.79
14,1,1371,01-14,356952.98526424,3229.45286524924,1095,758,149,95,72.04,26.61,0.27,1.08
18,2,888,02-01,408114.02572794,3179.6681435747405,671,38,584,10,94.52,4.54,0.26,0.68
19,2,404,02-02,535739.416277955,3275.54368804277,404,202,158,24,97.17,2.83,0,0
20,2,235,02-03,216604.91145161,2206.0613916863604,253,151,52,25,86.64,11.64,0.43,1.29
21,2,2150,02-04,838122.424108315,4154.8933135568,1391,311,758,31,76,21,0,3
22,2,2115,02-05,3535786.14781381,11166.2334826329,1213,285,449,29,88.24,10.65,0.64,0.48
23,2,2342,02-06,648847.33998719,4501.5219332909,1610,181,1271,43,91.23,7.69,0.46,0.62
24,2,2284,02-07,3531289.98517982,10047.6840071543,1589,875,318,124,85.96,13.33,0,0.7
25,2,1525,02-08,2060893.63519984,9442.79319887454,1260,504,479,82,95.96,3.87,0.17,0
26,2,1379,02-09,465068.444147455,4049.93311021447,1034,56,907,10,64.68,33.75,0.63,0.94
27,2,3070,02-10,29456486.8771547,26566.9972305894,923,70,763,8,88.49,10.47,0.38,0.67
28,2,1930,02-11,1096955.82428511,5650.3399924564,1361,102,1133,14,96.32,3.38,0.2,0.1
29,2,369,02-12,275922.12329159,2140.9538055613302,315,135,133,23,96.44,3,0.38,0.19
30,2,135,02-13,54636.25356943,966.161665371088,88,52,24,7,,,,
31,2,112,02-14,44753.07451072,896.798558852019,85,46,17,14,,,,
32,2,416,02-15,101956.49907054,1397.17681834038,310,41,224,7,,,,
33,2,2199,02-16,825472.9423349451,6018.32614964355,2292,683,1198,153,,,,
34,2,1563,02-17,343232.34210578504,2407.7180303533105,990,50,843,18,89.98,9.21,0.16,0.65
35,2,561,02-18,496262.52816994,2968.14752391793,345,38,272,9,100,0,0,0
41,3,1846,03-01,334146.72211032,2347.7571182211304,1289,197,723,15,91.67,8.18,0.15,0
42,3,2347,03-02,1252137.03973636,5163.18147534111,1748,754,716,82,77.69,21.42,0.62,0.27
43,3,1725,03-03,986476.65240052,4266.56813665646,1241,356,627,58,91.12,7.3,0.2,1.38
44,3,2858,03-04,687791.5252319151,3464.80280879913,1795,165,1319,24,92.61,6.4,0.74,0.25
45,3,1613,03-05,418434.40486965503,3378.35615192664,1092,370,579,51,95.56,3.33,1.11,0
46,3,1899,03-06,271422.565516565,2167.5028821544,1096,100,532,17,92.01,7.47,0.17,0.35
47,3,3730,03-07,781537.97722058,4254.2674601199005,2244,345,1249,49,87.67,11.66,0.29,0.38
48,3,2228,03-08,905165.168759305,4136.71592476341,1559,681,598,70,75.05,23.52,0.41,1.02
49,3,3776,03-09,802350.7623534,3580.7659545588804,2506,460,1337,61,88.96,10.1,0.52,0.42
50,3,316,03-10,164291.76957303,1646.3068234827902,250,204,1,36,74.81,24.06,0.38,0.75
