OBJECTID,DISTRICT,POPULATION,RDED,Shape__Are,Shape__Len,TOTAL_REG,ETH1_EUR,ETH1_AA,ETH1_UNK,rochester_votes,murphy_votes,total_votes,pct_rochester,pct_murphy,totalPop,pct_eur,pct_aa,pct_other
1,1,1602,01-01,1162304.25185737,6304.852443497861,1254,211,936,30,477.0,36.0,513.0,0.9298245614035088,0.07017543859649122,1177,0.17926932880203908,0.7952421410365336,0.025488530161427356
2,1,1982,01-02,561298.567499345,3410.84827486969,1579,155,1310,32,569.0,29.0,598.0,0.9515050167224081,0.048494983277591976,1497,0.10354041416165666,0.8750835003340014,0.021376085504342023
3,1,1692,01-03,360235.014292785,2601.65045127404,1262,83,1094,17,309.0,11.0,320.0,0.965625,0.034375,1194,0.0695142378559464,0.916247906197655,0.01423785594639866
4,1,2067,01-04,475088.25893291,3254.68417788045,1619,249,1224,40,439.0,26.0,465.0,0.9440860215053763,0.05591397849462366,1513,0.1645736946463979,0.8089887640449439,0.0264375413086583
5,1,2063,01-05,1567279.64476026,5694.297551819741,1636,589,826,101,719.0,99.0,818.0,0.8789731051344744,0.12102689486552567,1516,0.38852242744063326,0.5448548812664907,0.06662269129287599
6,1,1307,01-06,310995.95951994,2301.75535576573,996,53,855,7,193.0,7.0,200.0,0.965,0.035,915,0.05792349726775956,0.9344262295081968,0.007650273224043716
7,1,768,01-07,205147.222731575,2096.3892271227,530,36,442,6,97.0,6.0,103.0,0.941747572815534,0.05825242718446602,484,0.07438016528925621,0.9132231404958678,0.012396694214876035
8,1,2355,01-08,690474.12715374,3535.45062055862,1662,1093,246,164,652.0,148.0,800.0,0.815,0.185,1503,0.7272122421823021,0.16367265469061876,0.10911510312707917
9,1,1430,01-09,1091687.34201092,4720.03736658839,1241,172,958,33,519.0,53.0,572.0,0.9073426573426573,0.09265734265734266,1163,0.14789337919174547,0.823731728288908,0.028374892519346516
10,1,2521,01-10,977169.28929514,4951.550776619821,1858,143,1548,41,429.0,11.0,440.0,0.975,0.025,1732,0.0825635103926097,0.8937644341801386,0.02367205542725173
11,1,1320,01-11,458297.48302235,2797.5902798350603,1089,175,816,24,370.0,17.0,387.0,0.9560723514211886,0.04392764857881137,1015,0.1724137931034483,0.8039408866995074,0.023645320197044337
12,1,472,01-12,781754.5702583051,4231.71627553547,270,69,158,6,66.0,11.0,77.0,0.8571428571428571,0.14285714285714285,233,0.296137339055794,0.6781115879828327,0.02575107296137339
13,1,2035,01-13,1344370.35414813,5189.28207259815,1365,421,753,87,471.0,82.0,553.0,0.8517179023508138,0.14828209764918626,1261,0.3338620142743854,0.5971451229183188,0.0689928628072958
14,1,1371,01-14,356952.98526424,3229.45286524924,1095,758,149,95,388.0,58.0,446.0,0.8699551569506726,0.13004484304932734,1002,0.7564870259481038,0.14870259481037923,0.09481037924151696
18,2,888,02-01,408114.02572794,3179.6681435747405,671,38,584,10,158.0,2.0,160.0,0.9875,0.0125,632,0.060126582278481014,0.9240506329113924,0.015822784810126583
19,2,404,02-02,535739.416277955,3275.54368804277,404,202,158,24,175.0,11.0,186.0,0.9408602150537635,0.05913978494623656,384,0.5260416666666666,0.4114583333333333,0.0625
20,2,235,02-03,216604.91145161,2206.0613916863604,253,151,52,25,80.0,17.0,97.0,0.8247422680412371,0.17525773195876287,228,0.6622807017543859,0.22807017543859648,0.10964912280701754
21,2,2150,02-04,838122.424108315,4154.8933135568,1391,311,758,31,220.0,27.0,247.0,0.8906882591093117,0.10931174089068826,1100,0.2827272727272727,0.6890909090909091,0.028181818181818183
22,2,2115,02-05,3535786.14781381,11166.2334826329,1213,285,449,29,143.0,33.0,176.0,0.8125,0.1875,763,0.3735255570117955,0.5884665792922673,0.03800786369593709
23,2,2342,02-06,648847.33998719,4501.5219332909,1610,181,1271,43,272.0,14.0,286.0,0.951048951048951,0.04895104895104895,1495,0.12107023411371237,0.8501672240802676,0.028762541806020066
24,2,2284,02-07,3531289.98517982,10047.6840071543,1589,875,318,124,324.0,182.0,506.0,0.6403162055335968,0.35968379446640314,1317,0.6643887623386484,0.24145785876993167,0.09415337889141989
25,2,1525,02-08,2060893.63519984,9442.79319887454,1260,504,479,82,267.0,34.0,301.0,0.8870431893687708,0.11295681063122924,1065,0.4732394366197183,0.4497652582159624,0.07699530516431925
26,2,1379,02-09,465068.444147455,4049.93311021447,1034,56,907,10,247.0,8.0,255.0,0.9686274509803922,0.03137254901960784,973,0.05755395683453238,0.9321685508735869,0.010277492291880781
27,2,3070,02-10,29456486.8771547,26566.9972305894,923,70,763,8,171.0,6.0,177.0,0.9661016949152542,0.03389830508474576,841,0.08323424494649227,0.9072532699167658,0.009512485136741973
28,2,1930,02-11,1096955.82428511,5650.3399924564,1361,102,1133,14,318.0,10.0,328.0,0.9695121951219512,0.03048780487804878,1249,0.08166533226581266,0.9071257005604484,0.01120896717373899
29,2,369,02-12,275922.12329159,2140.9538055613302,315,135,133,23,90.0,26.0,116.0,0.7758620689655172,0.22413793103448276,291,0.4639175257731959,0.4570446735395189,0.07903780068728522
30,2,135,02-13,54636.25356943,966.161665371088,88,52,24,7,41.0,3.0,44.0,0.9318181818181818,0.06818181818181818,83,0.6265060240963856,0.2891566265060241,0.08433734939759036
31,2,112,02-14,44753.07451072,896.798558852019,85,46,17,14,34.0,10.0,44.0,0.7727272727272727,0.22727272727272727,77,0.5974025974025974,0.22077922077922077,0.18181818181818182
32,2,416,02-15,101956.49907054,1397.17681834038,310,41,224,7,39.0,8.0,47.0,0.8297872340425532,0.1702127659574468,272,0.15073529411764705,0.8235294117647058,0.025735294117647058
33,2,2199,02-16,825472.9423349451,6018.32614964355,2292,683,1198,153,321.0,25.0,346.0,0.9277456647398844,0.07225433526011561,2034,0.3357915437561455,0.5889872173058014,0.0752212389380531
34,2,1563,02-17,343232.34210578504,2407.7180303533105,990,50,843,18,184.0,11.0,195.0,0.9435897435897436,0.05641025641025641,911,0.054884742041712405,0.9253567508232712,0.019758507135016465
35,2,561,02-18,496262.52816994,2968.14752391793,345,38,272,9,38.0,4.0,42.0,0.9047619047619048,0.09523809523809523,319,0.11912225705329153,0.8526645768025078,0.02821316614420063
41,3,1846,03-01,334146.72211032,2347.7571182211304,1289,197,723,15,227.0,13.0,240.0,0.9458333333333333,0.05416666666666667,935,0.2106951871657754,0.7732620320855615,0.016042780748663103
