PRECINCT,CANDIDATE,PARTY,VOTES,PERCENTAGE
Election District 01-01,LISA BLUNT ROCHESTER,Democratic Party,477,92.26 %
Election District 01-01,LEE MURPHY,Republican Party,36,6.96 %
Election District 01-01,CODY MCNUTT,Libertarian Party,1,0.19 %
Election District 01-01,DAVID ROGERS,Non-Partisan Delaware,3,0.58 %
Election District 01-02,LISA BLUNT ROCHESTER,Democratic Party,569,94.52 %
Election District 01-02,LEE MURPHY,Republican Party,29,4.82 %
Election District 01-02,CODY MCNUTT,Libertarian Party,1,0.17 %
Election District 01-02,DAVID ROGERS,Non-Partisan Delaware,3,0.5 %
Election District 01-03,LISA BLUNT ROCHESTER,Democratic Party,309,95.67 %
Election District 01-03,LEE MURPHY,Republican Party,11,3.41 %
Election District 01-03,CODY MCNUTT,Libertarian Party,0,0 %
Election District 01-03,DAVID ROGERS,Non-Partisan Delaware,3,0.93 %
Election District 01-04,LISA BLUNT ROCHESTER,Democratic Party,439,93.01 %
Election District 01-04,LEE MURPHY,Republican Party,26,5.51 %
Election District 01-04,CODY MCNUTT,Libertarian Party,3,0.64 %
Election District 01-04,DAVID ROGERS,Non-Partisan Delaware,4,0.85 %
Election District 01-05,LISA BLUNT ROCHESTER,Democratic Party,719,86.52 %
Election District 01-05,LEE MURPHY,Republican Party,99,11.91 %
Election District 01-05,CODY MCNUTT,Libertarian Party,7,0.84 %
Election District 01-05,DAVID ROGERS,Non-Partisan Delaware,6,0.72 %
Election District 01-06,LISA BLUNT ROCHESTER,Democratic Party,193,96.5 %
Election District 01-06,LEE MURPHY,Republican Party,7,3.5 %
Election District 01-06,CODY MCNUTT,Libertarian Party,0,0 %
Election District 01-06,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 01-07,LISA BLUNT ROCHESTER,Democratic Party,97,93.27 %
Election District 01-07,LEE MURPHY,Republican Party,6,5.77 %
Election District 01-07,CODY MCNUTT,Libertarian Party,0,0 %
Election District 01-07,DAVID ROGERS,Non-Partisan Delaware,1,0.96 %
Election District 01-08,LISA BLUNT ROCHESTER,Democratic Party,652,80.49 %
Election District 01-08,LEE MURPHY,Republican Party,148,18.27 %
Election District 01-08,CODY MCNUTT,Libertarian Party,5,0.62 %
Election District 01-08,DAVID ROGERS,Non-Partisan Delaware,5,0.62 %
Election District 01-09,LISA BLUNT ROCHESTER,Democratic Party,519,89.33 %
Election District 01-09,LEE MURPHY,Republican Party,53,9.12 %
Election District 01-09,CODY MCNUTT,Libertarian Party,6,1.03 %
Election District 01-09,DAVID ROGERS,Non-Partisan Delaware,3,0.52 %
Election District 01-10,LISA BLUNT ROCHESTER,Democratic Party,429,96.84 %
Election District 01-10,LEE MURPHY,Republican Party,11,2.48 %
Election District 01-10,CODY MCNUTT,Libertarian Party,0,0 %
Election District 01-10,DAVID ROGERS,Non-Partisan Delaware,3,0.68 %
Election District 01-11,LISA BLUNT ROCHESTER,Democratic Party,370,94.63 %
Election District 01-11,LEE MURPHY,Republican Party,17,4.35 %
Election District 01-11,CODY MCNUTT,Libertarian Party,2,0.51 %
Election District 01-11,DAVID ROGERS,Non-Partisan Delaware,2,0.51 %
Election District 01-12,LISA BLUNT ROCHESTER,Democratic Party,66,83.54 %
Election District 01-12,LEE MURPHY,Republican Party,11,13.92 %
Election District 01-12,CODY MCNUTT,Libertarian Party,0,0 %
Election District 01-12,DAVID ROGERS,Non-Partisan Delaware,2,2.53 %
Election District 01-13,LISA BLUNT ROCHESTER,Democratic Party,471,84.56 %
Election District 01-13,LEE MURPHY,Republican Party,82,14.72 %
Election District 01-13,CODY MCNUTT,Libertarian Party,3,0.54 %
Election District 01-13,DAVID ROGERS,Non-Partisan Delaware,1,0.18 %
Election District 01-14,LISA BLUNT ROCHESTER,Democratic Party,388,85.09 %
Election District 01-14,LEE MURPHY,Republican Party,58,12.72 %
Election District 01-14,CODY MCNUTT,Libertarian Party,7,1.54 %
Election District 01-14,DAVID ROGERS,Non-Partisan Delaware,3,0.66 %
Election District 01-15,LISA BLUNT ROCHESTER,Democratic Party,5,83.33 %
Election District 01-15,LEE MURPHY,Republican Party,1,16.67 %
Election District 01-15,CODY MCNUTT,Libertarian Party,0,0 %
Election District 01-15,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 01-16,LISA BLUNT ROCHESTER,Democratic Party,21,77.78 %
Election District 01-16,LEE MURPHY,Republican Party,6,22.22 %
Election District 01-16,CODY MCNUTT,Libertarian Party,0,0 %
Election District 01-16,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 01-17,LISA BLUNT ROCHESTER,Democratic Party,0,0 %
Election District 01-17,LEE MURPHY,Republican Party,0,0 %
Election District 01-17,CODY MCNUTT,Libertarian Party,0,0 %
Election District 01-17,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 02-01,LISA BLUNT ROCHESTER,Democratic Party,158,96.34 %
Election District 02-01,LEE MURPHY,Republican Party,2,1.22 %
Election District 02-01,CODY MCNUTT,Libertarian Party,2,1.22 %
Election District 02-01,DAVID ROGERS,Non-Partisan Delaware,2,1.22 %
Election District 02-02,LISA BLUNT ROCHESTER,Democratic Party,175,91.15 %
Election District 02-02,LEE MURPHY,Republican Party,11,5.73 %
Election District 02-02,CODY MCNUTT,Libertarian Party,4,2.08 %
Election District 02-02,DAVID ROGERS,Non-Partisan Delaware,2,1.04 %
Election District 02-03,LISA BLUNT ROCHESTER,Democratic Party,80,80.81 %
Election District 02-03,LEE MURPHY,Republican Party,17,17.17 %
Election District 02-03,CODY MCNUTT,Libertarian Party,1,1.01 %
Election District 02-03,DAVID ROGERS,Non-Partisan Delaware,1,1.01 %
Election District 02-04,LISA BLUNT ROCHESTER,Democratic Party,220,87.65 %
Election District 02-04,LEE MURPHY,Republican Party,27,10.76 %
Election District 02-04,CODY MCNUTT,Libertarian Party,3,1.2 %
Election District 02-04,DAVID ROGERS,Non-Partisan Delaware,1,0.4 %
Election District 02-05,LISA BLUNT ROCHESTER,Democratic Party,143,80.34 %
Election District 02-05,LEE MURPHY,Republican Party,33,18.54 %
Election District 02-05,CODY MCNUTT,Libertarian Party,1,0.56 %
Election District 02-05,DAVID ROGERS,Non-Partisan Delaware,1,0.56 %
Election District 02-06,LISA BLUNT ROCHESTER,Democratic Party,272,94.44 %
Election District 02-06,LEE MURPHY,Republican Party,14,4.86 %
Election District 02-06,CODY MCNUTT,Libertarian Party,2,0.69 %
Election District 02-06,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 02-07,LISA BLUNT ROCHESTER,Democratic Party,324,62.79 %
Election District 02-07,LEE MURPHY,Republican Party,182,35.27 %
Election District 02-07,CODY MCNUTT,Libertarian Party,4,0.78 %
Election District 02-07,DAVID ROGERS,Non-Partisan Delaware,6,1.16 %
Election District 02-08,LISA BLUNT ROCHESTER,Democratic Party,267,87.83 %
Election District 02-08,LEE MURPHY,Republican Party,34,11.18 %
Election District 02-08,CODY MCNUTT,Libertarian Party,3,0.99 %
Election District 02-08,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 02-09,LISA BLUNT ROCHESTER,Democratic Party,247,95.74 %
Election District 02-09,LEE MURPHY,Republican Party,8,3.1 %
Election District 02-09,CODY MCNUTT,Libertarian Party,1,0.39 %
Election District 02-09,DAVID ROGERS,Non-Partisan Delaware,2,0.78 %
Election District 02-10,LISA BLUNT ROCHESTER,Democratic Party,171,93.96 %
Election District 02-10,LEE MURPHY,Republican Party,6,3.3 %
Election District 02-10,CODY MCNUTT,Libertarian Party,1,0.55 %
Election District 02-10,DAVID ROGERS,Non-Partisan Delaware,4,2.2 %
Election District 02-11,LISA BLUNT ROCHESTER,Democratic Party,318,95.21 %
Election District 02-11,LEE MURPHY,Republican Party,10,2.99 %
Election District 02-11,CODY MCNUTT,Libertarian Party,3,0.9 %
Election District 02-11,DAVID ROGERS,Non-Partisan Delaware,3,0.9 %
